ticker,active,name,market,locale,primary_exchange,type,currency_name,cik,description,homepage_url,list_date,market_cap,phone_number,total_employees,address1,address2,city,state,postal_code,branding_icon_url,branding_logo_url,sic_code,sic_description,ticker_root,ticker_suffix,weighted_shares_outstanding
AA,1,Alcoa Corporation,stocks,us,XNYS,CS,usd,0001675149,"Alcoa is a vertically integrated aluminum company whose operations include bauxite mining, alumina refining, and the manufacture of primary aluminum. It is the world's largest bauxite miner and alumina refiner by production volume, and its profits are closely tied to prevailing commodity prices along the aluminum supply chain.",https://www.alcoa.com,2016-10-18,8894631284.55,412-315-2900,12200,201 ISABELLA STREET,SUITE 500,PITTSBURGH,PA,15212,,,3334,PRIMARY PRODUCTION OF ALUMINUM,AA,,176937165.0
AAA,1,Alternative Access First Priority CLO Bond ETF,stocks,us,ARCX,ETF,usd,,,,2020-09-09,,,,,,,,,,,,,AAA,,
AAAU,1,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,usd,0001708646,,,2018-08-15,,718-315-4591,,"240 GREENWICH STREET, 8TH FLOOR",,NEW YORK,NY,10286,,,6221,COMMODITY CONTRACTS BROKERS & DEALERS,AAAU,,
AACG,1,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,usd,0001420529,"ATA Creativity Global is an international educational services company focused on providing quality learning experiences that cultivate and enhance students' creativity. The operating segments are Overseas art study services, Other educational services and K-12 education assessment and other services. Majority of its revenue comes from Overseas art study services.",https://ir.atai.net.cn,2008-01-29,28011747.86,,581,,,,,,,https://api.polygon.io/v1/reference/company-branding/aXIuYXRhaS5uZXQuY24/images/2024-10-01_logo.svg,,,AACG,,31473874.0
AACT,1,Ares Acquisition Corporation II,stocks,us,XNYS,CS,usd,0001853138,Ares Acquisition Corp II is a blank check company.,https://www.aresacquisitioncorporationii.com,2023-06-12,683750000.0,310-201-4100,,C/O ARES MANAGEMENT LLC,"245 PARK AVENUE, 42ND FLOOR",NEW YORK,NY,10167,,https://api.polygon.io/v1/reference/company-branding/YXJlc2FjcXVpc2l0aW9uY29ycG9yYXRpb25paS5jb20/images/2024-10-01_logo.png,6770,BLANK CHECKS,AACT,,62500000.0
AACT.U,1,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,usd,0001853138,Ares Acquisition Corp II is a blank check company.,https://www.aresacquisitioncorporationii.com,2023-04-21,,310-201-4100,,C/O ARES MANAGEMENT LLC,"245 PARK AVENUE, 42ND FLOOR",NEW YORK,NY,10167,,https://api.polygon.io/v1/reference/company-branding/YXJlc2FjcXVpc2l0aW9uY29ycG9yYXRpb25paS5jb20/images/2024-10-01_logo.png,6770,BLANK CHECKS,AACT,U,
AACT.WS,1,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",stocks,us,XNYS,WARRANT,usd,0001853138,,,,,310-201-4100,,C/O ARES MANAGEMENT LLC,"245 PARK AVENUE, 42ND FLOOR",NEW YORK,NY,10167,,,6770,BLANK CHECKS,AACT,WS,
AADI,1,"Aadi Bioscience, Inc. Common Stock",stocks,us,XNAS,CS,usd,0001422142,"Aadi Bioscience Inc is a clinical-stage biopharmaceutical company developing precision therapies for genetically-defined cancers. Aadi's primary goal is to bring transformational therapies to cancer patients with mTOR pathway driver alterations such as alterations in TSC1 or TSC2 genes, where other mTOR inhibitors have not or cannot be effectively exploited due to problems of pharmacology, effective drug delivery, safety, or effective targeting to the disease site. It has one operating segment, which is the business of developing and commercializing proprietary therapeutic. Geographically, it is located in the United States.",https://www.aadibio.com,2021-08-27,59400214.72,424-473-8055,53,17383 SUNSET AVENUE,SUITE A250,PACIFIC PALISADES,CA,90272,https://api.polygon.io/v1/reference/company-branding/YWFkaWJpby5jb20/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWFkaWJpby5jb20/images/2024-10-01_logo.png,2834,PHARMACEUTICAL PREPARATIONS,AADI,,24647392.0
AADR,1,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,usd,0001408970,,,2010-07-21,,,,,,,,,,,,,AADR,,
AAL,1,American Airlines Group Inc.,stocks,us,XNAS,CS,usd,0000006201,"American Airlines is the world's largest airline by aircraft, capacity, and scheduled revenue passenger miles. Its major US hubs are Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C. It generates over 30% of US airline revenue connecting Latin America with destinations in the United States. After completing a major fleet renewal, the company has the youngest fleet of US legacy carriers.",https://www.aa.com,2013-12-10,11118656452.32,(682) 278-9000,132100,1 SKYVIEW DRIVE,,FORT WORTH,TX,76155,https://api.polygon.io/v1/reference/company-branding/YWEuY29t/images/2024-10-01_icon.jpeg,https://api.polygon.io/v1/reference/company-branding/YWEuY29t/images/2024-10-01_logo.svg,4512,"AIR TRANSPORTATION, SCHEDULED",AAL,,657130996.0
