ticker,close_price,weight,date,update_time
AAPL,130.73,0.01,2023-01-10,2024-12-17 01:58:11
AMZN,89.87,0.01,2023-01-10,2024-12-17 01:58:11
AVGO,57.493,0.01,2023-01-10,2024-12-17 01:58:11
BAC,34.12,0.01,2023-01-10,2024-12-17 01:58:11
ABBV,159.64,0.01,2023-01-10,2024-12-17 01:58:11
ASML,633.39,0.01,2023-01-10,2024-12-17 01:58:11
ACN,274.93,0.01,2023-01-10,2024-12-17 01:58:11
AXP,152.0,0.01,2023-01-10,2024-12-17 01:58:11
BABA,114.88,0.01,2023-01-10,2024-12-17 01:58:11
AZN,71.6,0.01,2023-01-10,2024-12-17 01:58:11
AMD,68.05,0.01,2023-01-10,2024-12-17 01:58:11
ADBE,338.7,0.01,2023-01-10,2024-12-17 01:58:11
ABT,113.85,0.01,2023-01-10,2024-12-17 01:58:11
AMGN,273.88,0.01,2023-01-10,2024-12-17 01:58:11
ANET,28.8075,0.01,2023-01-10,2024-12-17 01:58:11
AMAT,108.04,0.01,2023-01-10,2024-12-17 01:58:11
BA,206.69,0.01,2023-01-10,2024-12-17 01:58:11
ADP,240.78,0.01,2023-01-10,2024-12-17 01:58:11
APP,10.37,0.01,2023-01-10,2024-12-17 01:58:11
ADI,169.22,0.01,2023-01-10,2024-12-17 01:58:11
APO,66.52,0.01,2023-01-10,2024-12-17 01:58:11
AMT,221.95,0.01,2023-01-10,2024-12-17 01:58:11
APH,39.65,0.01,2023-01-10,2024-12-17 01:58:11
ABNB,88.54,0.01,2023-01-10,2024-12-17 01:58:11
AON,307.33,0.01,2023-01-10,2024-12-17 01:58:11
APD,312.67,0.01,2023-01-10,2024-12-17 01:58:11
ADSK,193.43,0.01,2023-01-10,2024-12-17 01:58:11
AJG,192.68,0.01,2023-01-10,2024-12-17 01:58:11
BBVA,6.79,0.01,2023-01-10,2024-12-17 01:58:11
AFL,72.0,0.01,2023-01-10,2024-12-17 01:58:11
AZO,2435.52,0.01,2023-01-10,2024-12-17 01:58:11
AMP,319.77,0.01,2023-01-10,2024-12-17 01:58:11
ALL,141.26,0.01,2023-01-10,2024-12-17 01:58:11
AEP,97.28,0.01,2023-01-10,2024-12-17 01:58:11
AXON,179.33,0.01,2023-01-10,2024-12-17 01:58:11
AMX,19.72,0.01,2023-01-10,2024-12-17 01:58:11
AIG,63.45,0.01,2023-01-10,2024-12-17 01:58:11
AME,142.81,0.01,2023-01-10,2024-12-17 01:58:11
AEM,55.24,0.01,2023-01-10,2024-12-17 01:58:11
ALC,72.13,0.01,2023-01-10,2024-12-17 01:58:11
ARES,72.43,0.01,2023-01-10,2024-12-17 01:58:11
ARGX,388.26,0.01,2023-01-10,2024-12-17 01:58:11
ACGL,63.07,0.01,2023-01-10,2024-12-17 01:58:11
ABEV,2.76,0.01,2023-01-10,2024-12-17 01:58:11
AVB,162.99,0.01,2023-01-10,2024-12-17 01:58:11
ALNY,219.5,0.01,2023-01-10,2024-12-17 01:58:11
ANSS,248.4,0.01,2023-01-10,2024-12-17 01:58:11
AWK,160.77,0.01,2023-01-10,2024-12-17 01:58:11
ADM,86.23,0.01,2023-01-10,2024-12-17 01:58:11
BAM,30.21,0.01,2023-01-10,2024-12-17 01:58:11
AEE,89.12,0.01,2023-01-10,2024-12-17 01:58:11
AFRM,10.06,0.01,2023-01-10,2024-12-17 01:58:11
ASX,6.97,0.01,2023-01-10,2024-12-17 01:58:11
ATO,114.3,0.01,2023-01-10,2024-12-17 01:58:11
BBD,2.9,0.01,2023-01-10,2024-12-17 01:58:11
